,IDfg,Name,Age,G,AB,WAR,name_last,name_first,key_bbref,mlb_played_first,2023,shortName,Unnamed: 0,2024,SimplePosition,S2,G_all,GS,2024Est,Selectable,Position_c,Position_1b,Position_2b,Position_3b,Position_ss,Position_lf,Position_cf,Position_rf,Position_of
0,11493,Manny Machado,28,150,578,7.5,machado,manny,machama01,2012.0,21090909.0,San Diego,595,$17.09 ,Batter,False,150,148,17090000.0,True,False,False,False,True,False,False,False,False,False
1,9777,Nolan Arenado,30,148,557,7.2,arenado,nolan,arenano01,2013.0,32822071.0,St. Louis,927,$35.00 ,Batter,False,148,147,35000000.0,True,False,False,False,True,False,False,False,False,False
2,5361,Freddie Freeman,31,159,612,7.1,freeman,freddie,freemfr01,2010.0,25290674.0,LA Dodgers,126,$25.29 ,Batter,False,159,159,25290000.0,True,False,True,False,False,False,False,False,False,False
3,9218,Paul Goldschmidt,33,151,561,7.0,goldschmidt,paul,goldspa01,2011.0,25333333.0,St. Louis,928,$25.33 ,Batter,False,151,150,25330000.0,True,False,True,False,False,False,False,False,False,False
4,19556,Yordan Alvarez,24,135,470,6.7,álvarez,yordan,alvaryo01,2019.0,7833333.0,Houston,221,$10.83 ,Batter,False,135,133,10830000.0,True,False,False,False,False,False,True,False,False,True
5,5417,Jose Altuve,31,141,527,6.6,altuve,josé,altuvjo01,2011.0,29200000.0,Houston,214,$29.20 ,Batter,False,141,137,29200000.0,True,False,False,True,False,False,False,False,False,False
6,13611,Mookie Betts,28,142,572,6.6,betts,mookie,bettsmo01,2014.0,21158692.0,LA Dodgers,128,$24.77 ,Batter,False,142,138,24770000.0,True,False,False,True,False,False,False,False,True,True
7,12916,Francisco Lindor,27,161,630,6.6,lindor,francisco,lindofr01,2015.0,32477277.0,NY Mets,806,$32.48 ,Batter,False,161,161,32479999.999999996,True,False,False,False,False,True,False,False,False,False
8,11739,J.T. Realmuto,30,139,504,6.5,realmuto,j. t.,realmjt01,2014.0,23875000.0,Philadelphia,888,$23.88 ,Batter,False,139,132,23880000.0,True,True,False,False,False,False,False,False,False,False
9,16252,Trea Turner,28,160,652,6.4,turner,trea,turnetr01,2015.0,27272727.0,Philadelphia,886,$27.27 ,Batter,False,160,160,27270000.0,True,False,False,False,False,True,False,False,False,False
10,18314,Dansby Swanson,27,162,640,6.4,swanson,dansby,swansda01,2016.0,14000000.0,Chi Cubs,1012,$26.00 ,Batter,False,162,162,26000000.0,True,False,False,False,False,True,False,False,False,False
11,19950,Andres Gimenez,22,146,491,6.2,giménez,andrés,gimenan01,2020.0,1571429.0,Cleveland,646,$5.57 ,Batter,False,146,134,5570000.0,False,False,False,True,False,True,False,False,False,False
12,10155,Mike Trout,29,119,438,6.0,trout,mike,troutmi01,2011.0,37116667.0,LA Angels,1,$37.12 ,Batter,False,119,117,37120000.0,True,False,False,False,False,False,False,True,False,True
13,12161,Xander Bogaerts,28,150,557,6.0,bogaerts,xander,bogaexa01,2013.0,25454545.0,San Diego,592,$25.46 ,Batter,False,150,148,25460000.0,True,False,False,False,False,True,False,False,False,False
